text,clean_text,date
An amazing strong comeback in the track final brought a bronze medal to the team. record final.,amazing strong comeback track final brought bronze medal team record final,2021-07-31
The main arena looked amazing during the opening ceremony and the music show was memorable. team crowd.,main arena looked amazing opening ceremony music show memorable team crowd,2021-07-30
Travel delays and hotel check in problems made the day more stressful than expected.,travel delays hotel check problems made day more stressful than expected,2021-07-29
A strong performance in the swimming relay helped secure a bronze medal for the team. swimming medal.,strong performance swimming relay helped secure bronze medal team swimming medal,2021-07-26
The gymnast improved the result after an excellent balance sequence in the beam event. team routine.,gymnast improved result excellent balance sequence beam event team routine,2021-07-30
The crowd reacted loudly during the track final final in the stadium. track record.,crowd reacted loudly track final final stadium track record,2021-07-28
An amazing fast finish in the 100m sprint brought a bronze medal to the team. runner track.,amazing fast finish m sprint brought bronze medal team runner track,2021-07-28
The relay race at the track stadium ended with a thrilling heat and a bronze medal. relay sprint.,relay race track stadium ended thrilling heat bronze medal relay sprint,2021-08-03
A strong teamwork in the last quarter helped the women team secure the important victory. team offense.,strong teamwork last quarter helped women team secure important victory team offense,2021-07-30
The coach praised the national team after the group match on the arena. quarter final.,coach praised national team group match arena quarter final,2021-08-04
The coach praised the national team after the group match on the court. defense score.,coach praised national team group match court defense score,2021-07-28
The women team controlled the final minutes with solid ball movement and earned the final score. defense coach.,women team controlled final minutes solid ball movement earned final score defense coach,2021-08-03
The opening ceremony created a strong sense of excitement with music and national fireworks. performance stadium.,opening ceremony created strong sense excitement music national fireworks performance stadium,2021-07-26
The all around final qualification round featured a clean balance sequence and a strong result. routine score.,all around final qualification round featured clean balance sequence strong result routine score,2021-08-03
The opening ceremony in the stadium included a dance performance and a beautiful fireworks. stadium music.,opening ceremony stadium included dance performance beautiful fireworks stadium music,2021-07-27
The stadium celebration created a strong sense of excitement with music and national fireworks. team closing.,stadium celebration created strong sense excitement music national fireworks team closing,2021-07-25
An amazing strong comeback in the track final brought a silver medal to the team. race heat.,amazing strong comeback track final brought silver medal team race heat,2021-07-31
The internet connection in my room was weak and video uploads took forever.,internet connection my room weak video uploads took forever,2021-07-30
The pool final semifinal in the aquatic center was exciting and the team won a bronze medal. pool swimming.,pool final semifinal aquatic center exciting team won bronze medal pool swimming,2021-07-29
The tennis match featured great baseline shots and strong movement on the center court. player medal.,tennis match featured great baseline shots strong movement center court player medal,2021-07-28
The vault event final featured a clean floor routine and a strong score. beam team.,vault event final featured clean floor routine strong score beam team,2021-08-04
The coach praised the men team after the group match on the court. defense coach.,coach praised men team group match court defense coach,2021-07-25
A strong offense in the last quarter helped the women team secure the important victory. quarter offense.,strong offense last quarter helped women team secure important victory quarter offense,2021-07-24
